"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","1275000000","1480000000","1756000000","1969000000","2047000000","2210000000","2340000000","2511000000","2717000000","2786205866.13585","2819244416.33088","3017912967.5407","3078029442.62536","3116136656.27008","3353480000","3253839491.17826","3147320275.95878","3209497076.27114","3463418513.10561","3505476495.35994","3542305264.0545","3606074759.23456","3602803769.83029","3223797906.48183","3105000000","3212000000","3168000000","3301000000","3329000000","3314000000","3307000000","3351000000","","",
"Afghanistan","AFG","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182162721300","198251838900","201055353800","223633296700","235614234200","268191011100","278717464900","338336603400","386930000000","388579694600","438132492800","462671175000","475276851800","482174614400","493073275700","506215118500","511432475534.156","",
"Angola","AGO","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","413870934694.668","395660608521.519","395660608521.519","412278359730.808","437015070237.898","452310595465.414","465427610616.107","484429850042.377","514120024985.495","514334009255.528","496588978372.871","501511959400","472232283300","358974843500","363782821300","418350244600","475013148600","509566922500","533471453100","545109078000","561760112000","585387734200","665384986900","685279000000","760336661600","874607014600","975603861700","1112286140700","1236485549800","1247103407200","1307702900200","1353106101300","1468690418100","1541458013700","1615796761700","1631043025900","1588960529800","1586621461900","1552771000000","",
"Albania","ALB","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","553296427543.513","585086822353.866","602338673684.192","608994144155.51","601371993880.849","612080287965.653","646584742244.421","641490671844.214","632381249922.039","694585741250.73","628074710000","452200340000","419700200000","459821070000","497999400000","564344540000","615699890000","548465560000","596895550000","673834770000","720666530000","780410290000","815840610000","860957010000","908395730000","958629240000","1015189170000","1075897300000","1156589270000","1195335790000","1239645590000","1271198570000","1289218120000","1302135940000","1325242170000","1354646000000","1399549870000","1453027810000","1513259270000","",
"Andorra","AND","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","596935300","624689600","675600200","728219100","769136200","773306500","798854900","821531000","833550000","833896400","852314900","851185800","861795500","877050300","892702900","913426400","943143100","995460400","1046172400","1096671500","1138140900","1167118000","1177963000","1165812500","1193596000","1226509400","1283538900","1399926000","1444650700","1503868100","1556930000","1627720000","1733050000","1943940000","2092610000","2247400000","2349350000","2350290000","2148400000","2069110000","1958230000","1867240000","1837080000","1843540000","1885530000","1901410000","1937330000","1970730000","2002840000","",
"Arab World","ARB","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","208622510200","243101253100","295220533400","290527698000","351316473200","435192490400","455468877400","424864483400","404701176800","420957825900","405826595700","345122499300","356794479100","347450361000","390318408800","461855910300","465828249600","481409947700","487481446400","521098891100","555949393300","588185585500","636360329700","638218465900","656740929300","728015079800","738200629800","756164423300","822710982000","901415106800","945180083000","1038160470200","1071219550200","1105411124400","1047455282400","1064244000000","1137999000000","1189034000000","1249120000000","1302636094241.45","1369147872349.28","1411057000000","1417983325128.03","1442462670944.17","",
"Argentina","ARG","GDP (constant LCU)","NY.GDP.MKTP.KN","182932009386.44","192861271432.271","191218051889.207","181067821327.096","199410530596.604","220487093701.636","219032482639.5","226023992089.437","236924000874.523","259857121158.53","267771442208.049","282922301411.503","287529454895.857","295614075962.835","311972780690.209","311884142663.154","305589536223.584","326779566190.307","312054471108.779","343955061571.789","349178995840.106","331057342234.647","328621888566.258","342913961037.103","348300243338.463","330226858893.014","350546962683.162","360028798197.3","356104724285.913","330618488447.736","322461423553.512","351912181900","379844477800","411018234600","435006083700","422629248800","445986656500","482160842800","500724897600","483773071300","479956106900","458795611600","408812193300","444939093600","485115195200","528055942500","570549404200","621942502600","647176159700","608872876400","670523679400","710781597200","703485989500","720407105300","702306046000","721487146600","706477848600","725330848500","707329642300","",
"Armenia","ARM","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2609832938005.62","2304482523800","1341208765600","1223182410400","1289234294600","1378191440500","1459027891600","1507483370700","1617529656600","1670908135300","1769491715300","1938595694900","2194224749300","2502311349400","2764249344200","3147532176600","3562943584000","4052819893000","4332464465700","3719421236000","3801248503100","3979907182700","4266460500000","4407253696500","4565914829600","4712024104100","4721448152300","5075556763800","5339485715500","",
"American Samoa","ASM","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","737000000","743000000","747000000","744000000","713000000","727000000","708000000","678000000","681000000","683000000","653000000","635000000","641000000","650000000","632000000","595000000","608000000","",
"Antigua and Barbuda","ATG","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","779533555.866092","813705406.47355","879450731.10724","951226493.920089","987514987.207555","986685353.510926","1039611316.43374","1145287760.95271","1232831193.49651","1374530697.3774","1465612171.29599","1542018533.44164","1623009582.06582","1671888895.97191","1708283800","1728071300","1819314700","1940775700","1856167700","1978764200","2087025000","2185768700","2266814700","2418504100","2298689600","2322230500","2462909100","2604192900","2771184300","3123914700","3413171100","3412142600","2999016200","2771860000","2717570000","2809230000","2792350000","2898340000","3009210000","3174650000","3274510000","3516470000","",
"Australia","AUS","GDP (constant LCU)","NY.GDP.MKTP.KN","259314000000","265760000000","269204000000","285934000000","305888000000","324191000000","331915000000","352834000000","370814000000","396935000000","425404000000","442436000000","459747000000","471762000000","491121000000","497751000000","510631000000","529001000000","533745000000","555327000000","572176000000","591275000000","610955000000","597389000000","624757000000","657552000000","684099000000","701566000000","741841000000","770511000000","798023000000","794853000000","798132000000","830292000000","863360000000","896479000000","931250000000","968188000000","1012499000000","1063869000000","1105712000000","1127062000000","1172160000000","1207160000000","1256117000000","1296365000000","1332593000000","1383822000000","1434441000000","1462225000000","1492456000000","1529212000000","1589129000000","1630206000000","1671501000000","1708151000000","1755478000000","1797041000000","1849880000000","",
"Austria","AUT","GDP (constant LCU)","NY.GDP.MKTP.KN","76547968557.5349","80787179223.7164","82926969134.2714","86358709014.3338","91647621837.6208","94837119385.7531","100188646598.812","103202368976.428","107817901715.963","114584410008.901","121827453900","128058890000","136008607800","142660021000","148283876100","147744514700","154508916600","162357939900","162015927200","170694634100","173650186800","173399619200","176887126600","182146136500","182239532400","186793112400","191091955600","193685394500","200069033100","207845866000","216878102300","224342238600","229038898800","230245497400","235776267700","242066740000","247754180000","252941160000","262000060000","271317650000","280476580000","284030690000","288721610000","291439840000","299411070000","306130050000","316703910000","328508780000","333306400000","320758820000","326651460000","336198820000","338486470000","338572800000","340811690000","344269230000","351439010000","360142200000","368856790000","",
